WARNING: src/mem.v:15: $readmemh(testset_nop.hex): Not enough words in the file for the requested range [0:4095].
tick 029 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 030 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 031 : rst=0 DECODE OPC=RS_ADDs  SGN_EN=1 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=6 TGT_SR=0 SRC_GP=7 SRC_SR=0
tick 032 : rst=0 DECODE OPC=IS_MOVis SGN_EN=1 IMM_EN=1 IMM_VAL=400 IMMSR_VAL=00 CC=RA TGT_GP=8 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 033 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 034 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 035 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 036 : rst=0 DECODE OPC=RS_ADDs  SGN_EN=1 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=8 TGT_SR=0 SRC_GP=8 SRC_SR=0
tick 037 : rst=0 DECODE OPC=IS_ADDis SGN_EN=1 IMM_EN=1 IMM_VAL=fff IMMSR_VAL=00 CC=RA TGT_GP=6 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 038 : rst=0 DECODE OPC=IS_ADDis SGN_EN=1 IMM_EN=1 IMM_VAL=7ff IMMSR_VAL=00 CC=RA TGT_GP=7 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 039 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 040 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 041 : rst=0 DECODE OPC=R_SUB    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=2 TGT_SR=0 SRC_GP=6 SRC_SR=0
tick 042 : rst=0 DECODE OPC=R_SUB    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=1 SRC_SR=0
tick 043 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 044 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 045 : rst=0 DECODE OPC=I_SUBi   SGN_EN=0 IMM_EN=1 IMM_VAL=001 IMMSR_VAL=00 CC=RA TGT_GP=2 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 046 : rst=0 DECODE OPC=I_SUBi   SGN_EN=0 IMM_EN=1 IMM_VAL=001 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 047 : rst=0 DECODE OPC=IS_MOVis SGN_EN=1 IMM_EN=1 IMM_VAL=ffe IMMSR_VAL=00 CC=RA TGT_GP=9 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 048 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 049 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 050 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 051 : rst=0 DECODE OPC=RS_SUBs  SGN_EN=1 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=9 TGT_SR=0 SRC_GP=6 SRC_SR=0
tick 052 : rst=0 DECODE OPC=IS_MOVis SGN_EN=1 IMM_EN=1 IMM_VAL=001 IMMSR_VAL=00 CC=RA TGT_GP=a TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 053 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 054 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 055 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 056 : rst=0 DECODE OPC=RS_SUBs  SGN_EN=1 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=a TGT_SR=0 SRC_GP=7 SRC_SR=0
tick 057 : rst=0 DECODE OPC=IS_SUBis SGN_EN=1 IMM_EN=1 IMM_VAL=fff IMMSR_VAL=00 CC=RA TGT_GP=7 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 058 : rst=0 DECODE OPC=IS_SUBis SGN_EN=1 IMM_EN=1 IMM_VAL=800 IMMSR_VAL=00 CC=RA TGT_GP=8 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 059 : rst=0 DECODE OPC=R_NOT    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 060 : rst=0 DECODE OPC=R_NOT    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=5 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 061 : rst=0 DECODE OPC=IS_MOVis SGN_EN=1 IMM_EN=1 IMM_VAL=0f0 IMMSR_VAL=00 CC=RA TGT_GP=b TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 062 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 063 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 064 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 065 : rst=0 DECODE OPC=R_AND    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=2 TGT_SR=0 SRC_GP=b SRC_SR=0
tick 066 : rst=0 DECODE OPC=IS_MOVis SGN_EN=1 IMM_EN=1 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=c TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 067 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 068 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 069 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 070 : rst=0 DECODE OPC=R_AND    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=3 TGT_SR=0 SRC_GP=c SRC_SR=0
tick 071 : rst=0 DECODE OPC=I_ANDi   SGN_EN=0 IMM_EN=1 IMM_VAL=00f IMMSR_VAL=00 CC=RA TGT_GP=1 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 072 : rst=0 DECODE OPC=I_ANDi   SGN_EN=0 IMM_EN=1 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=2 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 073 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 074 : rst=0 DECODE OPC=R_OR     SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=3 TGT_SR=0 SRC_GP=b SRC_SR=0
tick 075 : rst=0 DECODE OPC=R_OR     SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=4 TGT_SR=0 SRC_GP=c SRC_SR=0
tick 076 : rst=0 DECODE OPC=I_ORi    SGN_EN=0 IMM_EN=1 IMM_VAL=0f0 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
